geoid,total_16plus,total_16to19,total_20to24,total_25to54,total_55to64,total_65plus,inLaborForce_16to19,inLaborForce_20to24,inLaborForce_25to54,inLaborForce_55to64,inLaborForce_65plus,outLaborForce_16to19,outLaborForce_20to24,outLaborForce_25to54,outLaborForce_55to64,outLaborForce_65plus,Employed_16to19,Employed_20to24,Employed_25to54,Employed_55to64,EmployedMilitary_16to19,EmployedMilitary_20to24,EmployedMilitary_25to54,EmployedMilitary_55to64,Unemployed_16to19,Unemployed_20to24,Unemployed_25to54,Unemployed_55to64
39041,139077.0,10218.0,8564.0,77909.0,22027.0,20359.0,3626.0,6471.0,67902.0,15608.0,4058.0,6592.0,2093.0,10007.0,6419.0,16301.0,3136.0,6134.0,66098.0,15123.0,0.0,0.0,105.0,0.0,490.0,337.0,1699.0,485.0
39043,61874.0,3527.0,4400.0,27889.0,11645.0,14413.0,1872.0,3634.0,23616.0,7500.0,1996.0,1655.0,766.0,4273.0,4145.0,12417.0,1491.0,3081.0,22104.0,7090.0,0.0,0.0,15.0,0.0,381.0,553.0,1497.0,410.0
39045,116727.0,8537.0,8736.0,59744.0,18980.0,20730.0,4154.0,6943.0,49044.0,11966.0,2907.0,4383.0,1793.0,10700.0,7014.0,17823.0,3133.0,6071.0,46320.0,11403.0,8.0,9.0,92.0,0.0,1013.0,863.0,2632.0,563.0
39047,22756.0,1501.0,1592.0,11078.0,3938.0,4647.0,691.0,1298.0,8694.0,2259.0,642.0,810.0,294.0,2384.0,1679.0,4005.0,471.0,1067.0,8078.0,2165.0,0.0,0.0,38.0,0.0,220.0,231.0,578.0,94.0
39049,956166.0,63393.0,95606.0,532727.0,135751.0,128689.0,25796.0,73106.0,450332.0,89572.0,24600.0,37597.0,22500.0,82395.0,46179.0,104089.0,19707.0,64654.0,422933.0,85481.0,0.0,53.0,529.0,13.0,6089.0,8399.0,26870.0,4078.0
39051,33270.0,2418.0,2332.0,15861.0,5994.0,6665.0,1179.0,1965.0,13785.0,4254.0,1181.0,1239.0,367.0,2076.0,1740.0,5484.0,865.0,1783.0,12988.0,4076.0,0.0,0.0,0.0,0.0,314.0,182.0,797.0,178.0
39053,24189.0,1604.0,1853.0,11415.0,4168.0,5149.0,462.0,1158.0,8114.0,1956.0,572.0,1142.0,695.0,3301.0,2212.0,4577.0,333.0,1008.0,7555.0,1913.0,0.0,0.0,0.0,0.0,129.0,150.0,559.0,43.0
39055,73801.0,5306.0,4893.0,32806.0,14417.0,16379.0,2726.0,4058.0,27678.0,10579.0,3515.0,2580.0,835.0,5128.0,3838.0,12864.0,2353.0,3755.0,26727.0,10297.0,0.0,10.0,0.0,0.0,373.0,293.0,951.0,282.0
39057,133798.0,10614.0,15106.0,61702.0,21728.0,24648.0,4641.0,11264.0,50981.0,13994.0,4078.0,5973.0,3842.0,10721.0,7734.0,20570.0,3536.0,9472.0,45963.0,13221.0,163.0,717.0,1721.0,0.0,942.0,1075.0,3297.0,773.0
39059,31454.0,1928.0,2219.0,14794.0,5720.0,6793.0,925.0,1874.0,11734.0,3137.0,835.0,1003.0,345.0,3060.0,2583.0,5958.0,637.0,1423.0,10506.0,2946.0,0.0,0.0,41.0,0.0,288.0,451.0,1187.0,191.0
39061,637482.0,43330.0,57286.0,320754.0,104411.0,111701.0,18247.0,45731.0,268439.0,67869.0,20520.0,25083.0,11555.0,52315.0,36542.0,91181.0,13350.0,39555.0,247090.0,63878.0,18.0,36.0,71.0,0.0,4879.0,6140.0,21278.0,3991.0
39063,60319.0,4281.0,5125.0,29171.0,10069.0,11673.0,2469.0,4132.0,24857.0,6749.0,2216.0,1812.0,993.0,4314.0,3320.0,9457.0,1855.0,3687.0,23442.0,6476.0,0.0,0.0,61.0,0.0,614.0,445.0,1354.0,273.0
39065,25302.0,2486.0,3494.0,10924.0,3802.0,4596.0,1063.0,2568.0,8800.0,2167.0,695.0,1423.0,926.0,2124.0,1635.0,3901.0,853.0,2148.0,8057.0,2096.0,0.0,0.0,0.0,0.0,210.0,420.0,743.0,71.0
39067,12747.0,731.0,797.0,5614.0,2519.0,3086.0,330.0,600.0,4380.0,1409.0,422.0,401.0,197.0,1234.0,1110.0,2664.0,293.0,535.0,4154.0,1370.0,0.0,0.0,0.0,0.0,37.0,65.0,226.0,39.0
39069,22122.0,1498.0,1583.0,10379.0,3892.0,4770.0,670.0,1303.0,9025.0,2761.0,653.0,828.0,280.0,1354.0,1131.0,4117.0,580.0,1140.0,8455.0,2647.0,0.0,0.0,7.0,0.0,90.0,163.0,563.0,114.0
39071,33695.0,1990.0,2454.0,16387.0,5725.0,7139.0,904.0,1929.0,12240.0,3113.0,988.0,1086.0,525.0,4147.0,2612.0,6151.0,702.0,1500.0,10976.0,2860.0,0.0,0.0,0.0,0.0,202.0,429.0,1264.0,253.0
39073,23163.0,1604.0,1540.0,10907.0,4234.0,4878.0,763.0,1289.0,8516.0,2225.0,697.0,841.0,251.0,2391.0,2009.0,4181.0,587.0,1023.0,7783.0,2131.0,0.0,0.0,9.0,0.0,176.0,266.0,724.0,94.0
39075,30714.0,2939.0,3163.0,14858.0,4439.0,5315.0,2045.0,2628.0,11298.0,2939.0,1141.0,894.0,535.0,3560.0,1500.0,4174.0,1960.0,2416.0,10853.0,2846.0,0.0,0.0,0.0,0.0,85.0,212.0,445.0,93.0
