County,Precinct,Year
188,40-002,2010
188,40-012,2010
188,40-014,2010
188,40-018,2010
188,40-020,2010
188,40-022,2010
188,40-024,2010
188,40-026,2010
188,40-028,2010
188,40-038,2010
188,40-042,2010
195,02-250,2010
195,02-295,2010
195,05-500,2010
195,05-518,2010
198,01-180,2010
198,01-185,2010
198,05-500,2010
198,05-504,2010
198,05-516,2010
198,05-525,2010
198,05-530,2010
198,05-540,2010
220,02-210,2010
220,02-220,2010
220,02-230,2010
220,02-240,2010
230,05-550,2010
240,06-533,2010
240,06-546,2010
240,06-547,2010
240,06-550,2010
240,06-613,2010
240,06-627,2010
240,06-683,2010
240,06-687,2010
240,06-688,2010
240,12-010,2010
240,12-020,2010
261,05-502,2010
261,05-556,2010
261,06-537,2010
261,06-543,2010
261,06-557,2010
261,06-593,2010
261,06-613,2010
261,06-627,2010
261,06-688,2010
261,12-031,2010
261,12-050,2010
261,12-055,2010
261,12-060,2010
261,32-995,2010
270,06-510,2010
270,06-607,2010
270,06-655,2010
270,39-900,2010
270,39-904,2010
270,39-910,2010
270,39-916,2010
270,39-918,2010
270,39-922,2010
270,39-928,2010
270,39-930,2010
270,39-932,2010
270,39-936,2010
270,39-940,2010
275,01-180,2010
275,02-260,2010
275,05-500,2010
275,05-530,2010
282,05-556,2010
282,05-570,2010
290,06-505,2010
290,06-515,2010
290,06-520,2010
290,06-525,2010
290,06-530,2010
290,06-533,2010
290,06-542,2010
290,06-550,2010
290,06-555,2010
290,06-560,2010
290,06-565,2010
290,06-570,2010
290,06-575,2010
290,06-580,2010
290,06-590,2010
290,06-595,2010
290,06-605,2010
290,06-610,2010
290,06-615,2010
290,06-620,2010
290,06-625,2010
290,06-630,2010
290,06-650,2010
290,06-660,2010
290,06-675,2010
290,06-680,2010
290,06-685,2010
290,06-700,2010
290,08-120,2010
170,11-075,2013
170,12-220,2013
170,10-055,2013
020,15-300,2013
020,28-110,2013
020,16-335,2013
020,17-400,2013
020,18-435,2013
020,19-500,2013
020,20-530,2013
020,21-600,2013
020,22-640,2013
020,23-735,2013
020,24-700,2013
020,25-840,2013
020,26-800,2013
020,27-900,2013
020,28-105,2013
170,10-020,2013
170,10-025,2013
170,10-005,2013
020,13-245,2013
020,13-260,2013
020,13-240,2013
020,13-235,2013
020,12-233,2013
020,12-230,2013
020,12-225,2013
020,13-250,2013
020,13-255,2013
020,15-320,2013
020,15-310,2013
020,15-315,2013
020,15-305,2013
020,16-330,2013
020,16-355,2013
020,16-325,2013
020,16-345,2013
020,16-340,2013
020,16-350,2013
020,17-405,2013
020,17-425,2013
020,17-410,2013
020,17-415,2013
020,17-420,2013
020,17-430,2013
020,18-440,2013
020,18-445,2013
020,18-450,2013
020,18-455,2013
020,18-460,2013
020,18-465,2013
020,18-470,2013
020,18-475,2013
020,18-480,2013
020,19-505,2013
020,19-510,2013
020,19-515,2013
020,19-520,2013
020,19-525,2013
020,20-535,2013
020,20-540,2013
020,20-545,2013
020,20-550,2013
020,20-555,2013
020,20-560,2013
020,20-565,2013
020,20-570,2013
020,21-605,2013
020,21-610,2013
020,21-615,2013
020,21-620,2013
020,21-625,2013
020,21-630,2013
020,21-635,2013
020,22-645,2013
020,22-650,2013
020,22-655,2013
020,22-660,2013
020,22-665,2013
020,22-670,2013
020,23-740,2013
020,23-745,2013
020,23-750,2013
020,23-755,2013
020,23-760,2013
020,23-765,2013
020,23-770,2013
