geoid,nhwa_under18,nhwa_votingAge,aian_under18,aian_votingAge,asian_under18,asian_votingAge,black_under18,black_votingAge,hisp_under18,hisp_votingAge,multi_under18,multi_votingAge,nhpi_under18,nhpi_votingAge,sor_under18,sor_votingAge,white_under18,white_votingAge
02158,75.0,278.0,2858.0,4107.0,8.0,27.0,14.0,14.0,31.0,50.0,231.0,279.0,0.0,4.0,0.0,0.0,75.0,297.0
02164,55.0,255.0,360.0,652.0,5.0,42.0,3.0,5.0,17.0,15.0,27.0,43.0,0.0,10.0,0.0,2.0,63.0,262.0
02170,19614.0,58063.0,1380.0,3692.0,349.0,1037.0,228.0,731.0,1661.0,2631.0,3484.0,3530.0,74.0,173.0,290.0,395.0,20814.0,60001.0
02180,287.0,1343.0,2563.0,4350.0,13.0,106.0,12.0,60.0,97.0,96.0,484.0,513.0,4.0,15.0,0.0,14.0,317.0,1403.0
02185,191.0,2921.0,1626.0,3019.0,107.0,408.0,0.0,64.0,129.0,221.0,215.0,325.0,233.0,304.0,57.0,122.0,206.0,2981.0
02188,159.0,757.0,2412.0,3931.0,3.0,56.0,0.0,25.0,62.0,80.0,158.0,151.0,0.0,2.0,0.0,45.0,168.0,781.0
02195,437.0,1772.0,50.0,144.0,11.0,63.0,22.0,75.0,78.0,226.0,164.0,185.0,6.0,8.0,31.0,137.0,469.0,1856.0
02198,524.0,2406.0,705.0,1967.0,9.0,40.0,0.0,12.0,88.0,117.0,310.0,327.0,0.0,16.0,0.0,12.0,541.0,2437.0
02220,1057.0,4549.0,348.0,969.0,97.0,429.0,22.0,75.0,182.0,358.0,444.0,637.0,20.0,10.0,4.0,88.0,1107.0,4693.0
02230,132.0,620.0,2.0,59.0,0.0,106.0,0.0,0.0,2.0,43.0,15.0,30.0,0.0,0.0,0.0,5.0,132.0,650.0
02240,1282.0,4107.0,240.0,502.0,37.0,64.0,62.0,18.0,130.0,206.0,183.0,201.0,22.0,11.0,21.0,64.0,1365.0,4239.0
02261,1403.0,5339.0,431.0,1070.0,81.0,227.0,0.0,0.0,140.0,285.0,305.0,302.0,8.0,34.0,41.0,74.0,1486.0,5558.0
02275,229.0,1406.0,92.0,322.0,14.0,46.0,0.0,5.0,12.0,22.0,78.0,164.0,0.0,0.0,0.0,1.0,238.0,1427.0
02282,39.0,214.0,60.0,153.0,1.0,42.0,0.0,9.0,12.0,5.0,49.0,64.0,4.0,4.0,0.0,2.0,39.0,216.0
02290,224.0,1004.0,1132.0,2816.0,12.0,14.0,10.0,7.0,48.0,61.0,167.0,162.0,0.0,0.0,0.0,12.0,261.0,1051.0
04001,2996.0,10910.0,16056.0,36098.0,88.0,220.0,172.0,270.0,1678.0,2869.0,968.0,653.0,49.0,26.0,112.0,650.0,3992.0,12770.0
04003,11971.0,61577.0,367.0,1152.0,201.0,1976.0,1007.0,4016.0,13994.0,29966.0,3981.0,3550.0,82.0,122.0,2937.0,6512.0,20701.0,83043.0
04005,11636.0,63110.0,11474.0,25317.0,400.0,1867.0,396.0,1741.0,5948.0,12968.0,1917.0,2656.0,0.0,173.0,1091.0,3799.0,14927.0,70943.0
04007,4778.0,29074.0,2761.0,5268.0,63.0,256.0,123.0,261.0,2976.0,6893.0,519.0,784.0,0.0,12.0,199.0,842.0,7255.0,34822.0
04009,4891.0,14446.0,1729.0,3319.0,46.0,195.0,64.0,718.0,3672.0,8210.0,527.0,436.0,16.0,48.0,347.0,1142.0,7674.0,21146.0
04011,1034.0,3228.0,80.0,235.0,0.0,40.0,30.0,109.0,1400.0,2842.0,98.0,54.0,0.0,0.0,16.0,298.0,2362.0,5701.0
04012,985.0,11194.0,882.0,1923.0,21.0,147.0,0.0,40.0,1648.0,3532.0,200.0,207.0,6.0,49.0,637.0,1190.0,1770.0,13263.0
