County,MedianHouseholdIncome,TotalPopulation,Male,Female,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_34,Age35_44,Age45_54,Age55_59,Age60_64,Age65_74,Age75_84,Age85,MedianAge,WhiteAlone,BlackAlone,AmericanIndianAlaskaNativeAlone,AsianAlone,NativeHawaiianPacificIslanderAlone,OtherRaceAlone,WhiteBlack,WhiteAmericanIndianAlaskaNative,WhiteAsian,BlackAmericanIndianAlaskaNative,White,Black,AmericanIndianAlaskaNative,Asian,NativeHawaiianPacificIslander,OtherRace,Hispanic,SimpsonDiversityIndex,Population25Plus,EdK8,Ed9_12,EdHS,EdCollNoDegree,EdAssocDegree,EdBachelorDegree,EdGraduateDegree,MedianHousingCosts,Married,Widowed,Divorced,Separated,NeverMarried,Uninsured,ForeignBorn,NonCitizen,Disability,MfgEmp1970,MfgEmp1980,MfgEmp1990,MfgEmp2001,MfgEmp2015,TotalEmp1970,TotalEmp1980,TotalEmp1990,TotalEmp2001,TotalEmp2015,WoodardAmericanNation,LandAreaSqMiles,Employment,LaborForce,Unemployment,TotalSSI,AgedSSI,BlindDisabledSSI,OASDI,SSIPayments,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,TotalReligiousAdherents,EvangelicalAdherents,CatholicAdherents,MormonAdherents,State,FoundryCounty,MexicanBorderCounty
32023,41712,42625,21179,21446,1859,2192,2469,2235,1873,3661,3812,5861,3710,3605,7007,3481,860,50.8,36514,1093,776,610,32,2199,84,349,287,84,37737,1275,1246,910,247,2580,6045,0.25871334370010046,31997,935,3894,11402,9474,2065,2942,1285,748,19641,2997,5524,686,7257,6832,3113,1607,10343,14,88,162,278,228,7150,7925,13249,12988,15368,Far West,18181.913189051844,14794.0,15909.0,1115.0,1065,190,875,339,639000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),Medium metro,13631,3887,5875,3370,32,FALSE,FALSE
32027,45230,6722,4455,2267,304,319,364,296,426,1042,1098,1119,371,409,664,262,48,41.3,5805,324,252,11,9,196,19,47,0,0,5885,348,306,24,49,208,1550,0.2497870245353928,5013,408,681,1774,1230,298,375,247,591,2569,172,1285,189,1526,938,360,163,802,NA,74,61,NA,NA,1277,1609,2289,2403,2366,Far West,6036.5883121755915,2213.0,2348.0,135.0,62,12,50,24,34000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",1628,356,707,475,32,FALSE,FALSE
32029,64832,3929,1882,2047,108,122,129,195,73,171,427,781,485,404,693,311,30,54.7,3703,17,66,57,0,8,0,35,24,1,3763,18,112,81,17,9,147,0.11375199999999996,3302,10,241,973,1125,247,465,241,893,1910,282,714,82,585,586,88,27,922,NA,11,23,172,893,409,892,971,1448,5895,Far West,262.9209717563682,1815.0,1916.0,101.0,12,NA,NA,NA,7000,Medium metro,Medium metro,"Without a city of 10,00 or more (nonmetropolitan)",422,29,327,NA,32,FALSE,FALSE
32031,52870,435019,218795,216224,26896,27552,27694,27476,32142,61280,54244,59777,29603,27701,37784,16298,6572,37.6,350006,10468,6755,23099,398,25256,3021,2789,4487,73,364134,14484,10403,30273,5380,28208,101261,0.3434847087143258,293259,16823,22096,70409,76927,22834,53480,30690,1029,165852,17291,51873,6705,111156,72028,64092,35630,50374,3060,8394,9339,14428,13236,68404,135104,174249,241058,273210,Far West,6302.38384230507,222523.0,232940.0,10417.0,7127,1538,5589,2506,3952000,Medium metro,Medium metro,Medium metro,124506,32557,60509,19436,32,FALSE,FALSE
32033,57122,9974,5657,4317,610,441,680,850,417,1367,1266,1466,754,639,816,561,107,39.4,8634,416,560,74,6,92,3,47,100,3,8797,425,610,178,38,99,1456,0.24260252187783882,6976,379,762,2405,1767,691,612,360,633,3693,495,1179,82,2794,1257,205,134,1699,399,345,38,52,57,4499,4052,4968,3987,5464,Far West,8874.598352985047,4350.0,4547.0,197.0,138,21,117,39,76000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",6132,196,3069,2688,32,FALSE,FALSE
32510,47668,54482,27959,26523,2847,3087,3425,3049,3505,6585,6372,7771,4095,3728,5595,2877,1546,42.6,45131,526,1335,1628,0,3950,175,456,312,20,46548,826,1973,2181,433,4270,12342,0.3059708220607805,38569,1831,3260,11037,11174,3277,4923,3067,873,20350,3249,8077,993,12499,8709,6133,3596,11273,246,1825,3599,4000,2806,8194,19360,26766,41639,38144,Far West,144.66074378827935,23202.0,24547.0,1345.0,1003,183,820,379,529000,Small metro,Small metro,"With a city of 10,000 or more (nonmetropolitan)",14916,6728,2578,2869,32,FALSE,FALSE
33001,62159,60399,29573,30826,2876,3314,3508,3645,3017,6163,6823,9502,4973,5152,6781,3170,1475,46.1,58218,328,128,644,0,195,252,269,210,0,59101,591,445,857,67,275,945,0.07118749567157223,44039,924,2752,13851,8848,4646,8412,4606,1139,27480,3397,6743,456,12574,6861,1991,748,8149,4035,4943,4068,4853,2552,16064,22924,28785,36768,37890,Yankeedom,401.5967359393324,30525.0,31225.0,700.0,1096,27,1069,361,588000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",19857,1315,12810,463,33,FALSE,FALSE
33003,53306,47513,23712,23801,1804,2139,2474,2587,2190,3950,4960,7642,4213,4426,6529,3197,1402,50.3,46276,171,51,285,0,13,83,384,78,0,46957,335,537,411,42,45,643,0.055647970712471406,36319,868,1632,11396,7306,3450,7279,4388,971,24411,2466,5014,575,8630,6777,1472,689,7372,927,1832,1246,1522,NA,8279,14272,22489,28818,30782,Yankeedom,932.0044888342902,22657.0,23210.0,553.0,737,17,720,235,401000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",10177,1241,4304,165,33,FALSE,FALSE
33005,57782,76430,37155,39275,3548,3875,4330,6573,5819,8522,8299,11318,5726,5719,7216,3759,1726,42.0,73134,558,147,898,15,300,259,444,431,5,74433,833,610,1415,35,498,1239,0.08469903303975868,52285,1199,2838,17689,9934,4124,10128,6373,1141,31304,3945,7826,841,20761,7366,2213,1090,10062,7300,8349,7594,6548,4909,22902,30075,38167,43811,45496,Yankeedom,706.6978291771427,40629.0,41565.0,936.0,1265,35,1230,487,673000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",18675,3881,9237,612,33,FALSE,FALSE
33007,42312,31870,16226,15644,1322,1529,1654,1743,1552,3143,3658,5028,2821,2632,3750,2028,1010,48.1,30451,553,210,137,0,107,66,175,83,0,30854,627,387,243,18,169,477,0.08681370662389265,24070,892,2170,9405,4754,2557,2827,1465,751,14093,2217,3886,301,6869,3566,933,345,5977,4735,4383,4190,2115,NA,14435,16010,18464,18667,16928,Yankeedom,1794.5661356356848,14087.0,14493.0,406.0,909,19,890,349,470000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",16130,966,12710,313,33,FALSE,FALSE
