name,idealogy_icon,city,state,statewide,headquarters,lat,long,splc_group,splc_ideology
Firm 22,racist-skinhead,,Indiana,1,0,40.26,-86.13,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Original Knight Riders Knights of the Ku Klux Klan,kkk,Beckley,West Virginia,0,1,37.77,-81.18,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
Nation of Islam,black-separatist,Akron,Ohio,0,0,41.08,-81.51,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Pine Bluff,Arkansas,0,0,34.21,-91.98,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Stockton,California,0,0,37.95,-121.28,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Pine Hills,Florida,0,0,28.57,-81.45,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Occidental Dissent,white-nationalist,Eufaula,Alabama,0,1,31.969345,-85.168674,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Nation of Islam,black-separatist,Willingboro,New Jersey,0,0,40.02,-74.88,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Invictus Books,other,Wentzville,Missouri,0,1,38.815492,-90.873918,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
American Family Association,anti-lgbt,Tupelo,Mississippi,0,1,34.25653,-88.724929,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Americans for Truth About Homosexuality,anti-lgbt,Naperville,Illinois,0,1,41.774855,-88.148077,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Family Research Council,anti-lgbt,Washington,District of Columbia,0,1,38.912068,-77.019022,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/family-research-council"">Family Research Council</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Poker Face,racist-music,Allentown,Pennsylvania,0,1,40.6,-75.47,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/hate-music"">Hate Music</a>"
Bill Keller Ministries,other,St. Petersburg,Florida,0,1,27.813325,-82.729217,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
US Border Guard,anti-immigrant,Mesa,Arizona,0,1,33.41,-111.83,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant"">Anti-Immigrant</a>"
National Socialist Movement,neo-nazi,,Oregon,1,0,43.8,-120.55,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
