name,idealogy_icon,city,state,statewide,headquarters,lat,long,splc_group,splc_ideology
Knights of the Ku Klux Klan,kkk,Harrison,Arkansas,0,1,36.22,-93.1,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/knights-ku-klux-klan"">Knights of the Ku Klux Klan</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
America First Committee,neo-nazi,Lyons,Illinois,0,0,41.82,-87.81,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Church of Israel,christian-identity,Schell City,Missouri,0,1,38.02,-94.11,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Chicago,Illinois,0,1,41.759792,-87.564304,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Campaign for Radical Truth in History,holocaust-denial,Coeur d'Alene,Idaho,0,1,47.671935,-116.707675,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial"">Holocaust Denial</a>"
Institute for Historical Review,holocaust-denial,Newport Beach,California,0,1,33.62,-117.92,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/institute-historical-review"">Institute for Historical Review</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial"">Holocaust Denial</a>"
Scriptures for America Ministries,christian-identity,Laporte,Colorado,0,1,40.62,-105.13,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
White Aryan Resistance,neo-nazi,Warsaw,Indiana,0,1,41.23,-85.85,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Confederate White Knights of the Ku Klux Klan,kkk,Walterboro,South Carolina,0,0,32.9,-80.66,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
Mission to Israel,christian-identity,Scottsbluff,Nebraska,0,1,41.866533,-103.661168,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Northern Hammerskins,racist-skinhead,Detroit,Michigan,0,0,42.33,-83.04,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
National Socialist German Workers Party,neo-nazi,Lincoln,Nebraska,0,1,40.818579,-96.711272,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
New Order,neo-nazi,Milwaukee,Wisconsin,0,1,42.99,-88.04,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Kingdom Identity Ministries,christian-identity,Harrison,Arkansas,0,1,36.229999,-93.11,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/kingdom-identity-ministries"">Kingdom Identity Ministries </a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Los Angeles,California,0,0,33.94,-118.29,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
America's Promise Ministries,christian-identity,Sandpoint,Idaho,0,1,48.27,-116.55,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/americas-promise-ministries"">America&#039;s Promise Ministries</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Council of Conservative Citizens,white-nationalist,St. Louis,Missouri,0,1,38.578783,-90.421944,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens"">Council of Conservative Citizens</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Sacto Skins,racist-skinhead,Sacramento,California,0,1,38.581571,-121.494399,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
National Alliance,neo-nazi,Hillsboro,West Virginia,0,0,38.135397,-80.213126,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-alliance"">National Alliance</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Nation of Islam,black-separatist,Durham,North Carolina,0,0,35.96,-78.8,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
National Socialist Movement,neo-nazi,Detroit,Michigan,0,1,42.401041,-82.998534,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Confederate Hammerskins,racist-skinhead,,Georgia,1,0,32.16,-82.9,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Nation of Islam,black-separatist,Atlanta,Georgia,0,0,33.689184,-84.50818,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Resistance Records,racist-music,Chicago,Illinois,0,1,41.87,-87.62,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/hate-music"">Hate Music</a>"
Council of Conservative Citizens,white-nationalist,Franklin,Tennessee,0,0,35.925063,-86.868889,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens"">Council of Conservative Citizens</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
MSR Productions,racist-music,Wheat Ridge,Colorado,0,1,39.77,-105.08,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/hate-music"">Hate Music</a>"
American Renaissance/New Century Foundation,white-nationalist,Oakton,Virginia,0,1,38.892351,-77.326699,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/american-renaissance"">American Renaissance</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Stormfront,white-nationalist,West Palm Beach,Florida,0,1,26.665499,-80.05908,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/stormfront"">Stormfront</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Sacred Truth Publishing & Ministries,christian-identity,Mountain City,Tennessee,0,1,36.47,-81.8,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Boston,Massachusetts,0,0,42.3,-71.08,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Miami,Florida,0,0,25.82,-80.2,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
American Immigration Control Foundation/Americans for Immigration Control,anti-immigrant,Monterey,Virginia,0,1,38.41,-79.58,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant"">Anti-Immigrant</a>"
American Freedom Union,white-nationalist,Hampton Township,Pennsylvania,0,1,40.59,-79.97,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
New Black Panther Party,black-separatist,Dallas,Texas,0,0,32.76,-96.76,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Philadelphia,Pennsylvania,0,0,39.99,-75.15,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Westboro Baptist Church,anti-lgbt,Topeka,Kansas,0,1,39.040155,-95.724716,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/westboro-baptist-church"">Westboro Baptist Church</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt"">Anti-LGBT</a>"
Council of Conservative Citizens,white-nationalist,New York,New York,0,0,40.715133,-74.010995,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens"">Council of Conservative Citizens</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Fellowship of God's Covenant People,christian-identity,Union,Kentucky,0,1,38.945895,-84.680501,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Virginia Publishing Company,christian-identity,Lynchburg,Virginia,0,1,37.409999,-79.14,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
"Conservative Citizens Foundation, Inc.",white-nationalist,Bridgeton,Missouri,0,1,38.76,-90.44,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens"">Council of Conservative Citizens</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Nation of Islam,black-separatist,Birmingham,Alabama,0,0,33.44,-86.86,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Columbus,Ohio,0,0,39.97,-82.96,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Harlem,New York,0,0,40.81,-73.95,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Milwaukee,Wisconsin,0,0,43.127225,-87.943283,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Memphis,Tennessee,0,0,35.133211,-90.032478,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,San Diego,California,0,0,32.698055,-117.120592,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Detroit,Michigan,0,0,42.399173,-83.159108,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Phoenix,Arizona,0,0,33.405164,-112.070017,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Washington,District of Columbia,0,0,38.869829,-76.960766,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Baltimore,Maryland,0,0,39.326912,-76.682834,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Springfield,Massachusetts,0,0,42.110021,-72.567583,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Houston,Texas,0,0,29.698225,-95.357319,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Plainfield,New Jersey,0,0,40.61,-74.42,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Power of Prophecy,other,Austin,Texas,0,1,30.300618,-97.874408,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
American Nazi Party,neo-nazi,Westland,Michigan,0,1,42.335811,-83.38428,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Federation for American Immigration Reform,anti-immigrant,Washington,District of Columbia,0,1,38.9163,-77.0452,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/federation-american-immigration-reform"">Federation for American Immigration Reform</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant"">Anti-Immigrant</a>"
League of the South,neo-confederate,Tuscaloosa,Alabama,0,0,33.2,-87.56,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
League of the South,neo-confederate,Conroe,Texas,0,0,30.16,-95.42,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
League of the South,neo-confederate,La Porte,Texas,0,0,29.652277,-95.02727,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
Nation of Islam,black-separatist,Dallas,Texas,0,0,32.766133,-96.772526,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Fort Lauderdale,Florida,0,0,26.12,-80.16,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Richmond,Virginia,0,0,37.54,-77.44,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Oakland,California,0,0,37.77,-122.2,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Newark,New Jersey,0,0,40.74,-74.19,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,St. Louis,Missouri,0,0,38.7,-90.25,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,New Orleans,Louisiana,0,0,30.013167,-90.020895,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Charlotte,North Carolina,0,0,35.268007,-80.882107,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
New Black Panther Party,black-separatist,Newark,New Jersey,0,0,40.74,-74.19,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
New Black Panther Party,black-separatist,Atlanta,Georgia,0,0,33.76,-84.39,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
New Black Panther Party,black-separatist,Tomball,Texas,0,0,30.09,-95.62,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
New Black Panther Party,black-separatist,Washington,District of Columbia,0,0,38.956829,-77.013344,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party"">New Black Panther Party</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Social Contract Press,white-nationalist,Petoskey,Michigan,0,1,45.373342,-84.955329,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/social-contract-press"">The Social Contract Press</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Weisman Publications,christian-identity,Apple Valley,Minnesota,0,1,44.73,-93.21,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Compton,California,0,0,33.88,-118.2,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
League of the South,neo-confederate,Wilmington,North Carolina,0,0,34.237859,-77.947639,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
Nation of Islam,black-separatist,Charleston,South Carolina,0,0,32.86,-79.97,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Kinsman Redeemer Ministries,christian-identity,Alexandria,Kentucky,0,1,38.959507,-84.387994,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
League of the South,neo-confederate,Waxahachie,Texas,0,0,32.386531,-96.848331,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
Jewish Defense League,other,Los Angeles,California,0,1,34.07,-118.37,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Keystone State Skinheads,racist-skinhead,Harrisburg,Pennsylvania,0,1,40.27,-76.88,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/keystone-united"">Keystone United</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
American Free Press,other,Washington,District of Columbia,0,1,38.884552,-76.996886,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/general-hate"">General Hate</a>"
Confederate Hammerskins,racist-skinhead,,Florida,1,0,27.66,-81.51,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
League of the South,neo-confederate,Wetumpka,Alabama,0,0,32.59,-86.21,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/league-south"">League of the South</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate"">Neo-Confederate</a>"
Midland Hammerskins,racist-skinhead,Wichita,Kansas,0,0,37.696628,-97.341321,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Nation of Islam,black-separatist,Greensboro,North Carolina,0,0,36.019649,-79.762417,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Buffalo,New York,0,0,42.9,-78.82,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
"Barnes Review/Foundation for Economic Liberty, Inc.",holocaust-denial,Upper Marlboro,Maryland,0,1,38.81,-76.74,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/barnes-review"">Barnes Review</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial"">Holocaust Denial</a>"
Occidental Quarterly/Charles Martel Society,white-nationalist,Atlanta,Georgia,0,1,33.75,-84.39,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/occidental-quarterly"">Occidental Quarterly</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Nation of Islam,black-separatist,Raleigh,North Carolina,0,0,35.75,-78.63,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Micetrap Distribution,racist-music,Maple Shade Township,New Jersey,0,1,39.952612,-74.992391,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/hate-music"">Hate Music</a>"
Nation of Islam,black-separatist,Huntsville,Alabama,0,0,34.73,-86.58,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Rialto,California,0,0,34.12,-117.36,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
National Coalition for Immigration Reform (formerly CCIR),anti-immigrant,Huntington Beach,California,0,1,33.72,-118.02,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant"">Anti-Immigrant</a>"
Nation of Islam,black-separatist,Kansas City,Missouri,0,0,39.09,-94.57,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Indianapolis,Indiana,0,0,39.802988,-86.103918,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Cleveland,Ohio,0,0,41.45,-81.59,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Denver,Colorado,0,0,39.73,-104.9,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Baton Rouge,Louisiana,0,0,30.47,-91.16,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Tulsa,Oklahoma,0,0,36.2,-95.98,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Pensacola,Florida,0,0,30.431374,-87.246235,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Monroe,Louisiana,0,0,32.5,-92.11,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Wilmington,Delaware,0,0,39.760071,-75.533492,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Mobile,Alabama,0,0,30.69,-88.05,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Camden,New Jersey,0,0,39.93,-75.11,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Columbia,South Carolina,0,0,34.05,-81,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Holly Springs,Mississippi,0,0,34.77,-89.44,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
