ORI,agency
GA1410200,LAGRANGE
GA1540000,WHITE
GAAPD0000,ATLANTA
GMTGM0000,GUAM
IA0150100,ATLANTIC
IA0230300,DE WITT
IA0280100,MANCHESTER
IA0310000,DUBUQUE
IA0310100,DUBUQUE
IA0370100,JEFFERSON
IA0420000,HARDIN
IA0510100,FAIRFIELD
IA0520000,JOHNSON
IA0520200,IOWA CITY
IA0520400,UNIVERSITY OF IOWA
IA0570100,CEDAR RAPIDS
IA0730100,CLARINDA
IA0770000,POLK
IA0770300,DES MOINES
IA0770800,ALTOONA
IA0771400,PLEASANT HILL
IA0780100,COUNCIL BLUFFS
IA0790100,GRINNELL
IA0820000,SCOTT
IA0820100,BETTENDORF
IA0820200,DAVENPORT
IA0850100,AMES
IA0850400,IOWA STATE UNIVERSITY
IA0940100,FORT DODGE
IA0970100,SIOUX CITY
ID0010000,ADA
ID0010100,BOISE
ID0010200,GARDEN CITY
ID0010300,MERIDIAN
ID0030200,POCATELLO
ID0050100,ST. MARIES
ID0070300,HAILEY
ID0070400,BELLEVUE
ID0100000,BONNEVILLE
ID0100200,IDAHO FALLS
ID0140000,CANYON
ID0140100,CALDWELL
ID0140200,NAMPA
ID0160000,CASSIA
ID0200000,ELMORE
ID0250200,GRANGEVILLE
ID0270100,JEROME
ID0280000,KOOTENAI
ID0280100,COEUR D'ALENE
ID0280200,POST FALLS
ID0280400,SPIRIT LAKE
ID0280500,RATHDRUM
ID0320100,SHOSHONE
ID0330100,REXBURG
ID0350200,LEWISTON
ID0380300,PAYETTE
ID0400000,SHOSHONE
ID0400300,OSBURN
ID0410000,TETON
ID0420200,TWIN FALLS
ID0420300,KIMBERLY
ID0430100,MCCALL
IL0010300,QUINCY
IL0020000,ALEXANDER
IL0020100,CAIRO
IL0090200,BEARDSTOWN
IL0100000,CHAMPAIGN
IL0100100,CHAMPAIGN
IL0100400,RANTOUL
IL0100600,URBANA
IL0100700,UNIV OF IL: URBANA
IL0120100,CASEY
IL0150300,MATTOON
IL0160200,ARLINGTON HEIGHTS
IL0160500,BARTLETT
IL0160700,BELLWOOD
IL0160900,BERWYN
IL0161000,BLUE ISLAND
IL0162000,CHICAGO RIDGE
IL0162500,DES PLAINES
IL0162A00,SCHAUMBURG
IL0162B00,STREAMWOOD
IL0162W00,NORTHWESTERN UNIV:EVANST
IL0163200,EVANSTON
IL0163300,EVERGREEN PARK
IL0163900,GLENVIEW
IL0163B00,SUMMIT
IL0163C00,WINNETKA
IL0164A00,SKOKIE
IL0165000,HOFFMAN ESTATES
IL0165200,HOMEWOOD
IL0165700,LA GRANGE
IL0165M00,TINLEY PARK
IL0166300,LYONS
IL0167800,NORTH RIVERSIDE
IL0167900,OAK FOREST
IL0167E00,OAKTON COMMUNITY COLLEGE
IL0168000,OAK LAWN
IL0168300,ORLAND PARK
IL0168C00,BURBANK
IL0169800,ROLLING MEADOWS
IL0169B00,WHEELING
IL016AC9E,NORTHWESTERN UNIV:CHICAG
IL0170200,PALESTINE
IL0190500,SYCAMORE
IL0190800,DE KALB
IL0191100,NORTHERN ILLINOIS UNIV
IL0210500,TUSCOLA
IL0220000,DU PAGE
IL0220100,ADDISON
IL0220400,CAROL STREAM
IL0220600,DOWNERS GROVE
IL0220700,ELMHURST
IL0221300,LOMBARD
IL0221900,WEST CHICAGO
IL0250100,ALTAMONT
IL0280500,WEST FRANKFORT
IL0290000,FULTON
IL0290200,CANTON
IL0320600,MINOOKA
IL0340700,NAUVOO
IL0350000,HARDIN
IL0370700,GENESEO
IL0371200,BLACK HAWK COL: KEWANEE
IL0450000,KANE
IL0450100,AURORA
IL0450200,BATAVIA
IL0450300,CARPENTERSVILLE
IL0450600,ELGIN
IL0460100,BRADLEY
IL0470000,KENDALL
IL0470100,PLANO
IL0480000,KNOX
IL0480400,GALESBURG
IL0490000,LAKE
IL0490500,GRAYSLAKE
IL0491500,NORTH CHICAGO
IL0491900,ROUND LAKE PARK
IL0500000,LA SALLE
IL0500100,LA SALLE
IL0500200,LELAND
IL0501300,GRAND RIDGE
IL0530300,FAIRBURY
IL0550400,MACOMB
IL0550500,WESTERN ILLINOIS UNIVERS
IL0560100,ALGONQUIN
IL0560300,CRYSTAL LAKE
IL0570100,BLOOMINGTON
IL0570200,NORMAL
IL0571500,ILLINOIS STATE UNIVERSIT
IL0580000,MACON
IL0580200,DECATUR
IL0600000,MADISON
IL0600100,ALTON
IL0601600,WOOD RIVER
IL0610200,CENTRALIA
IL0610400,SALEM
IL0610600,WAMAC
IL0620000,MARSHALL
IL0680100,HILLSBORO
IL0720000,PEORIA
IL0720700,PEORIA
IL0800100,OLNEY
IL0810600,MOLINE
IL0810800,ROCK ISLAND
IL0810900,SILVIS
IL0820200,BELLEVILLE
IL0820300,CAHOKIA
IL0821000,MARISSA
IL0821600,O'FALLON
IL0822500,SHILOH
IL0840000,SANGAMON
IL0840200,SPRINGFIELD
IL0870100,MOWEAQUA
IL0900300,EAST PEORIA
IL0900900,PEKIN
IL0920300,DANVILLE
IL0940300,MONMOUTH
IL0990000,WILL
IL0990100,BEECHER
IL0990400,CREST HILL
IL0990700,JOLIET
IL0991100,PLAINFIELD
IL1000400,MARION
IL1010000,WINNEBAGO
IL1010400,ROCKFORD
IL1020000,WOODFORD
IL1020200,EUREKA
ILCPD0000,CHICAGO
IN0020100,FORT WAYNE
IN0030100,COLUMBUS
IN0100000,CLARK
IN0120100,FRANKFORT
IN0180100,MUNCIE
IN0200000,ELKHART
IN0200200,GOSHEN
IN0220200,INDIANA UNIV: NEW ALBANY
IN0290700,FISHERS
IN0320300,PLAINFIELD
IN0360200,SEYMOUR
IN0410200,FRANKLIN
IN0410300,GREENWOOD
IN0450700,HAMMOND
IN0450800,HIGHLAND
IN0460100,LA PORTE
IN0480200,ANDERSON
IN0490400,INDIANA UN:INDIANAPOLIS
IN0530100,BLOOMINGTON
IN0530200,INDIANA UNIV:BLOOMINGTON
IN0540000,MONTGOMERY
IN0550000,MORGAN
IN0570000,NOBLE
IN0640200,PORTAGE
IN0700100,RUSHVILLE
IN0710100,MISHAWAKA
IN0710200,SOUTH BEND
IN0710300,WALKERTON
IN0730100,SHELBYVILLE
IN0790200,WEST LAFAYETTE
IN0790300,PURDUE UNIVERSITY
IN0840300,INDIANA STATE UNIVERSITY
IN0890100,RICHMOND
IN316SP00,SP: DECATUR COUNTY
IN349SP00,SP: MARION COUNTY
IN352SP00,SP: MIAMI COUNTY
IN367SP00,SP: PUTNAM COUNTY
IN369SP00,SP: RIPLEY COUNTY
IN370SP00,SP: RUSH COUNTY
IN372SP00,SP: SCOTT COUNTY
IN382SP00,SP: VANDERBURGH COUNTY
IN389SP00,SP: WAYNE COUNTY
INIPD0000,INDIANAPOLIS
INISP0000,INDIANA STATE POLICE
KS0010200,IOLA
KS0030100,ATCHISON
KS0050100,ELLINWOOD
KS0050200,GREAT BEND
KS0050300,HOISINGTON
KS0060100,FORT SCOTT
KS0070100,HIAWATHA
KS0080500,ANDOVER
KS0110100,COLUMBUS
KS0110300,BAXTER SPRINGS
KS0140100,CLAY CENTER
KS0150100,CONCORDIA
KS0160100,BURLINGTON
KS0180000,COWLEY
KS0180200,WINFIELD
KS0190000,CRAWFORD
KS0190100,PITTSBURG
KS0190700,PITTSBURG STATE UNIV
KS0210000,DICKINSON
KS0210100,ABILENE
KS0220100,ELWOOD
KS0230100,LAWRENCE
KS0230200,UNIV OF KS: MAIN CAMPUS
KS0230400,EUDORA
KS0260000,ELLIS
KS0260100,HAYS
KS0280100,GARDEN CITY
KS0290000,FORD
KS0290100,DODGE CITY
KS0300100,OTTAWA
KS0310100,JUNCTION CITY
KS0350000,GRAY
KS0370000,GREENWOOD
KS0400100,NEWTON
KS0400200,HESSTON
KS0430000,JACKSON
KS0440000,JEFFERSON
KS0460000,JOHNSON
KS0460200,LEAWOOD
KS0460300,MERRIAM
KS0460600,OVERLAND PARK
KS0460900,SHAWNEE
KS0462000,JOHNSON COUNTY PARK
KS0462600,BLUE VALLEY SCHOOL DIST
KS0470000,KEARNY
KS0500100,PARSONS
KS0520000,LEAVENWORTH
KS0520100,LEAVENWORTH
KS0520300,LANSING
KS0520500,BASEHOR
KS0560000,LYON
KS0560100,EMPORIA
KS0560200,EMPORIA STATE UNIVERSITY
KS0570100,MCPHERSON
KS0570200,LINDSBORG
KS0610000,MIAMI
KS0610100,PAOLA
KS0610200,OSAWATOMIE
KS0610300,LOUISBURG
KS0620100,BELOIT
KS0630200,INDEPENDENCE
KS0670100,CHANUTE
KS0760100,PRATT
KS0780100,HUTCHINSON
KS0800200,STERLING
KS0810000,RILEY COUNTY POLICE DEPT
KS0810200,KANSAS STATE UNIVERSITY
KS0830000,RUSH
KS0850000,SALINE
KS0850100,SALINA
KS0870000,SEDGWICK
KS0870100,DERBY
KS0870200,HAYSVILLE
KS0870300,WICHITA
KS0870500,VALLEY CENTER
KS0870600,WICHITA STATE UNIVERSITY
KS0871100,GODDARD
KS0871500,MAIZE
KS0871800,BEL AIRE
KS0872400,USD: GODDARD
KS0880100,LIBERAL
KS0890000,SHAWNEE
KS0890100,TOPEKA
KS0891800,WASHBURN UNIVERSITY
KS0960000,SUMNER
KS0960100,WELLINGTON
KS0960300,MULVANE
KS0970100,COLBY
KS1020000,WICHITA
KS1040000,WOODSON
KS1050000,WYANDOTTE
KS1050100,BONNER SPRINGS
KS1050200,KANSAS CITY
KS1050300,EDWARDSVILLE
KS1050400,UNIV OF KS: MEDCL CENTER
KSKHP0000,KANSAS HIGHWAY PATROL
KY0010000,ADAIR
KY0020100,SCOTTSVILLE
KY0030000,ANDERSON
KY0030100,LAWRENCEBURG
KY0040000,BALLARD
KY0050100,GLASGOW
KY0060100,OWINGSVILLE
KY0070000,BELL
KY0070100,MIDDLESBORO
KY0080000,BOONE
KY0080200,FLORENCE
KY0080500,CIN-NORTH KY INTER ARPT
KY0090000,BOURBON
KY0090100,PARIS
KY0100000,BOYD
KY0100100,ASHLAND
KY0110100,DANVILLE
KY0120000,BRACKEN
KY0120100,AUGUSTA
KY0140000,BRECKINRIDGE
KY0150000,BULLITT
KY0150100,SHEPHERDSVILLE
KY0150300,MOUNT WASHINGTON
KY0160100,MORGANTOWN
KY0170000,CALDWELL
KY0170100,PRINCETON
KY0180000,CALLOWAY
KY0180100,MURRAY
KY0180200,MURRAY STATE UNIVERSITY
KY0190100,BELLEVUE
KY0190200,CAMPBELL COUNTY POL DEPT
KY0190300,DAYTON
KY0190400,FORT THOMAS
KY0190600,NEWPORT
KY0190700,ALEXANDRIA
KY0190900,COLD SPRING
KY0191200,WILDER
KY0191500,NORTHERN KENTUCKY UNIV
KY0210100,CARROLLTON
KY0220100,GRAYSON
KY0240000,CHRISTIAN
KY0240100,HOPKINSVILLE
KY0240300,PEMBROKE
KY0240500,OAK GROVE
KY0240600,PENNYRILE NARCOTICS T F
KY0250100,WINCHESTER
KY0300000,DAVIESS
KY0300100,OWENSBORO
KY0310100,BROWNSVILLE
KY0330100,IRVINE
KY0340200,LEXINGTON
KY0340300,UNIVERSITY OF KENTUCKY
KY0340400,FAYETTE COUNTY SCHOOLS
KY0340800,KENTUCKY HORSE PARK
KY0350100,FLEMINGSBURG
KY0360100,PRESTONSBURG
KY0370000,FRANKLIN
KY0370100,FRANKFORT
KY0370300,PARK SECURITY
KY0380000,FULTON
KY0380100,FULTON
KY0390000,GALLATIN
KY0400100,LANCASTER
KY0410000,GRANT
KY0410100,WILLIAMSTOWN
KY0420000,GRAVES
KY0420100,MAYFIELD
KY0430000,GRAYSON
KY0430100,LEITCHFIELD
KY0450100,FLATWOODS
KY0450300,RACELAND
KY0470000,HARDIN
KY0470100,ELIZABETHTOWN
KY0470200,RADCLIFF
KY0470300,VINE GROVE
KY0471500,GREATER HARDIN CO NAR TF
KY0480000,HARLAN
KY0490100,CYNTHIANA
KY0500000,HART
KY0500100,HORSE CAVE
KY0510100,HENDERSON
KY0520200,EMINENCE
KY0540000,HOPKINS
KY0540100,MADISONVILLE
KY0540200,DAWSON SPRINGS
KY0550000,JACKSON
KY0560300,ST. MATTHEWS
KY0560400,SHIVELY
KY0560500,ANCHORAGE
KY0560600,WEST BUECHEL
KY0561000,JEFFERSONTOWN
KY0561200,LYNNVIEW
KY0561500,UNIVERSITY OF LOUISVILLE
KY0563800,NORTHFIELD
KY0564400,INDIAN HILLS
KY0565000,GRAYMOOR-DEVONDALE
KY0565200,JEFFERSON CNTY SCH DIST
KY0568000,LOUISVILLE METRO
KY0570000,JESSAMINE
KY0570100,NICHOLASVILLE
KY0570200,WILMORE
KY0580000,JOHNSON
KY0590000,KENTON
KY0590100,COVINGTON
KY0590200,ELSMERE
KY0590300,ERLANGER
KY0590500,KENTON COUNTY POLICE DEP
KY0590600,PARK HILLS
KY0590700,LUDLOW
KY0591100,TAYLOR MILL
KY0591300,FORT MITCHELL
KY0591900,INDEPENDENCE
KY0610000,KNOX
KY0610100,BARBOURVILLE
KY0620000,LARUE
KY0630000,LAUREL
KY0630100,LONDON
KY0630700,LAUREL CNTY CNSTBL DST 1
KY0640000,LAWRENCE
KY0640100,LOUISA
KY0680000,LEWIS
KY0680100,VANCEBURG
KY0690100,STANFORD
KY0710100,RUSSELLVILLE
KY0730000,MCCRACKEN
KY0730100,PADUCAH
KY0730700,MCCRACKEN CO PUB SCHOOLS
KY0760000,MADISON
KY0760100,BEREA
KY0760200,RICHMOND
KY0760300,EASTERN KENTUCKY UNIV
KY0780000,MARION
KY0780100,LEBANON
KY0790000,MARSHALL
KY0790100,BENTON
KY0790200,CALVERT CITY
KY0810000,MASON
KY0810100,MAYSVILLE
KY0820000,MEADE
KY0830000,MENIFEE
KY0840100,HARRODSBURG
KY0870100,MOUNT STERLING
KY0880100,WEST LIBERTY
KY0900000,NELSON
KY0900100,BARDSTOWN
KY0920000,OHIO
KY0920200,BEAVER DAM
KY0921100,OHIO CNTY SCHOOL SYSTEM
KY0930000,OLDHAM
KY0930100,LA GRANGE
KY0930400,OLDHAM COUNTY POLICE DEP
KY0940000,OWEN
KY0960000,PENDLETON
KY0960100,FALMOUTH
KY0970100,HAZARD
KY0980100,PIKEVILLE
KY1000100,SOMERSET
KY1020200,MOUNT VERNON
KY1030000,ROWAN
KY1030100,MOREHEAD
KY1030200,MOREHEAD STATE UNIVERSIT
KY1040100,JAMESTOWN
KY1040200,RUSSELL SPRINGS
KY1050000,SCOTT
KY1050100,GEORGETOWN
KY1060000,SHELBY
KY1060100,SHELBYVILLE
KY1060900,SIMPSONVILLE
KY1070000,SIMPSON
KY1070100,FRANKLIN
KY1080000,SPENCER
KY1080100,TAYLORSVILLE
KY1090100,CAMPBELLSVILLE
KY1100100,ELKTON
KY1100300,GUTHRIE
KY1110100,CADIZ
KY1120000,TRIMBLE
KY1130000,UNION
KY1140000,WARREN
KY1140100,BOWLING GREEN
KY1140200,WESTERN KENTUCKY UNIV
KY1150000,WASHINGTON
KY1160100,MONTICELLO
KY1170000,WEBSTER
KY1180100,CORBIN
KY1180200,WILLIAMSBURG
KY1190000,WOLFE
KY1200000,WOODFORD
KY1200100,VERSAILLES
KYKSP0100,SP: MAYFIELD
KYKSP0200,SP: MADISONVILLE
KYKSP0300,SP: BOWLING GREEN
KYKSP0600,SP: DRY RIDGE
KYKSP0700,SP: RICHMOND
KYKSP0800,SP: MOREHEAD
KYKSP0900,SP: PIKEVILLE
KYKSP1100,SP: LONDON
KYKSP1200,SP: FRANKFORT
KYKSP1300,SP: HAZARD
KYKSP1400,SP: ASHLAND
KYKSP1600,SP: HENDERSON
KYKSP2500,SP: CANNABIS SUPPRSSN SE
LA0030000,ASCENSION
LA0030200,GONZALES
LA0080000,BOSSIER
LA0080100,BOSSIER CITY
LA0090000,CADDO
LA0090100,SHREVEPORT
LA0100000,CALCASIEU
LA0100400,VINTON
LA0100500,WESTLAKE
LA0170100,BAKER
LA0190000,EAST FELICIANA
LA0200200,MAMOU
LA0220000,GRANT
LA0230000,IBERIA
LA0240200,PLAQUEMINE
LA0260000,JEFFERSON
LA0260200,HARAHAN
LA0260300,KENNER
LA0270000,JEFFERSON DAVIS
LA0280000,LAFAYETTE
LA0290000,LAFOURCHE
LA0320000,LIVINGSTON
LA0330000,MADISON
LA0350100,NATCHITOCHES
LA0360300,UNIV OF NEW ORLEANS
LA0370000,OUACHITA
LA0370300,STERLINGTON
LA0450000,ST. CHARLES
LA0460000,ST. HELENA
LA0520000,ST. TAMMANY
LA0560200,BERNICE
LANPD0000,NEW ORLEANS
MA0010100,BARNSTABLE
MA0010200,BOURNE
MA0010300,BREWSTER
MA0010400,CHATHAM
MA0010500,DENNIS
MA0010700,FALMOUTH
MA0010900,MASHPEE
MA0011100,PROVINCETOWN
MA0011500,YARMOUTH
MA0020700,EGREMONT
MA0020900,GREAT BARRINGTON
MA0021100,HINSDALE
MA0021300,LEE
MA0021900,NORTH ADAMS
MA0022200,PITTSFIELD
MA0023100,WILLIAMSTOWN
MA0023500,MA COLLG OF LIBERAL ARTS
MA0030200,ATTLEBORO
MA0030400,DARTMOUTH
MA0030800,FALL RIVER
MA0031000,MANSFIELD
MA0031100,NEW BEDFORD
MA0031200,NORTH ATTLEBORO
MA0031300,NORTON
MA0031400,RAYNHAM
MA0031600,SEEKONK
MA0031700,SOMERSET
MA0031900,TAUNTON
MA0032000,WESTPORT
MA0032100,UN OF MA: DARTMOUTH
MA0032300,BRISTOL COMM COLLEGE
MA0040200,EDGARTOWN
MA0040500,OAK BLUFFS
MA0040600,TISBURY
MA0040700,WEST TISBURY
MA0050100,AMESBURY
MA0050200,ANDOVER
MA0050300,BEVERLY
MA0050500,DANVERS
MA0050800,GLOUCESTER
MA0051100,HAVERHILL
MA0051200,IPSWICH
MA0051300,LAWRENCE
MA0051400,LYNN
MA0051600,MANCHESTER-BY-THE-SEA
MA0051700,MARBLEHEAD
MA0051800,MERRIMAC
MA0051900,METHUEN
MA0052100,NAHANT
MA0052300,NEWBURYPORT
MA0052400,NORTH ANDOVER
MA0052600,ROCKPORT
MA0052800,SALEM
MA0052900,SALISBURY
MA0053000,SAUGUS
MA0053100,SWAMPSCOTT
MA0053800,MERRIMACK COLLEGE
MA0054200,ENDICOTT COLLEGE
MA0060100,ASHFIELD
MA0060700,DEERFIELD
MA0061000,GREENFIELD
MA0061600,MONTAGUE
MA0061800,NORTHFIELD
MA0070100,AGAWAM
MA0070500,CHICOPEE
MA0070600,EAST LONGMEADOW
MA0070800,HAMPDEN
MA0071100,LONGMEADOW
MA0071200,LUDLOW
MA0071300,MONSON
MA0071500,PALMER
MA0071700,SOUTHWICK
MA0071800,SPRINGFIELD
MA0072200,WESTFIELD
MA0072300,WILBRAHAM
MA0073300,SPRINGFIELD TECH COMM CO
MA0079800,WESTERN NEW ENGLAND UNIV
MA0080100,AMHERST
MA0080200,BELCHERTOWN
MA0080500,EASTHAMPTON
MA0080700,GRANBY
MA0080800,HADLEY
MA0081200,NORTHAMPTON
MA0081500,SOUTH HADLEY
MA0081600,SOUTHAMPTON
MA0081700,WARE
MA0081900,WILLIAMSBURG
MA0082200,UNIV OF MA: AMHERST
MA008239E,MOUNT HOLYOKE COLLEGE
MA0082400,HAMPSHIRE COLLEGE
MA0090100,ACTON
MA0090200,ARLINGTON
MA0090600,BEDFORD
MA0090700,BELMONT
MA0090800,BILLERICA
MA0091000,BURLINGTON
MA0091100,CAMBRIDGE
MA0091300,CHELMSFORD
MA0091500,DRACUT
MA0091700,EVERETT
MA0091800,FRAMINGHAM
MA0092000,HOLLISTON
MA0092200,HUDSON
MA0092400,LINCOLN
MA0092600,LOWELL
MA0092700,MALDEN
MA0092800,MARLBOROUGH
MA0093000,MEDFORD
MA0093100,MELROSE
MA0093200,NATICK
MA0093300,NEWTON
MA0093400,NORTH READING
MA0093600,READING
MA0093700,SHERBORN
MA0093900,SOMERVILLE
MA0094000,STONEHAM
MA0094600,WAKEFIELD
MA0094700,WALTHAM
MA0094800,WATERTOWN
MA0094900,WAYLAND
MA0095200,WILMINGTON
MA0095400,WOBURN
MA0095700,BRANDEIS UNIVERSITY
MA0095800,BENTLEY COLLEGE
MA0095900,FRAMINGHAM STATE UNIVERS
MA0096200,HARVARD UNIVERSITY
MA0096400,TUFTS UNIVERSITY:MEDFORD
MA009IT00,MASS INST OF TECHNOLOGY
MA0110200,BELLINGHAM
MA0110300,BRAINTREE
MA0110400,BROOKLINE
MA0110600,COHASSET
MA0110700,DEDHAM
MA0111100,HOLBROOK
MA0111200,MEDFIELD
MA0111300,MEDWAY
MA0111400,MILLIS
MA0111500,MILTON
MA0111600,NEEDHAM
MA0111700,NORFOLK
MA0111900,PLAINVILLE
MA0112000,QUINCY
MA0112100,RANDOLPH
MA0112200,SHARON
MA0112300,STOUGHTON
MA0112500,WELLESLEY
MA0112700,WEYMOUTH
MA0112800,WRENTHAM
MA0120300,BROCKTON
MA0120400,CARVER
MA0120500,DUXBURY
MA0121000,HINGHAM
MA0121100,HULL
MA0121200,KINGSTON
MA0121300,LAKEVILLE
MA0121600,MATTAPOISETT
MA0121700,MIDDLEBORO
MA0121800,NORWELL
MA0121900,PEMBROKE
MA0122000,PLYMOUTH
MA0122500,WAREHAM
MA0122600,WEST BRIDGEWATER
MA0122700,WHITMAN
MA0123200,MASSASOIT COMMUNITY COLL
MA0130100,BOSTON
MA0130300,CHELSEA
MA0130400,REVERE
MA0130500,WINTHROP
MA0132000,UN OF MA: HARBOR CMP BOS
MA0133000,BOSTON UNIVERSITY
MA0133300,NORTHEASTERN UNIVERSITY
MA013529E,MASS GENERAL HOSPITAL
MA0139800,EMERSON COLLEGE
MA013BA00,MBTA: SUFFOLK COUNTY
MA0140500,BERLIN
MA0140700,BOLTON
MA0140800,BOYLSTON
MA0141000,CHARLTON
MA0141200,DOUGLAS
MA0141500,FITCHBURG
MA0141600,GARDNER
MA0141700,GRAFTON
MA0141900,HARVARD
MA0142500,LEOMINSTER
MA0142600,LUNENBURG
MA0142700,MENDON
MA0142800,MILFORD
MA0143400,NORTHBRIDGE
MA0143600,OXFORD
MA0144200,RUTLAND
MA0144400,SOUTHBOROUGH
MA0144500,SOUTHBRIDGE
MA0144600,SPENCER
MA0144900,SUTTON
MA0145100,UPTON
MA0145200,UXBRIDGE
MA0145400,WEBSTER
MA0146000,WORCESTER
MA0146800,CLARK UNIVERSITY
MA0147000,ASSUMPTION COLLEGE
MA302SP00,SP: BERKSHIRE COUNTY
MD0010200,CUMBERLAND
MD0010800,FROSTBURG STATE UNIVERSI
MD0020100,ANNAPOLIS
MD0020200,ANNE ARUNDEL COUNTY PD
MD0030100,BALTIMORE COUNTY POL DEP
MD0030500,TOWSON UNIVERSITY
MD0050000,CALVERT
MD0070000,CARROLL
MD0080000,CECIL
MD0080400,ELKTON
MD0090000,CHARLES
MD0100100,CAMBRIDGE
MD0110000,FREDERICK
MD0110300,FREDERICK
MD0110400,THURMONT
MD0130000,HARFORD
MD0130200,BEL AIR
MD0160300,NAT CAP PARK P:MONTGOMER
MD0160400,MONTGOMERY COUNTY PD
MD0160600,TAKOMA PARK
MD0171400,GREENBELT
MD0171700,LAUREL
MD0172100,PRINCE GEORGE'S CNTY PD
MD0172500,UNIV OF MD:COLLEGE PARK
MD0173900,NEW CARROLLTON
MD0174100,BOWIE
MD0190200,ST. MARY'S COLLEGE
MD0200100,CRISFIELD
MD0230000,WICOMICO
MD0230300,SALISBURY
MD0230400,SALISBURY UNIVERSITY
MD301SP00,SP: ALLEGANY COUNTY
MD306SP00,SP: CARROLL COUNTY
MD307SP00,SP: CECIL COUNTY
MD310SP00,SP: FREDERICK COUNTY
MD323SP00,SP: WORCESTER COUNTY
MDBPD0000,BALTIMORE
ME0010000,ANDROSCOGGIN
ME0010100,AUBURN
ME0010200,LEWISTON
ME0010300,LIVERMORE FALLS
ME001SP00,SP: ANDROSCOGGIN COUNTY
ME0020300,FORT KENT
ME0020400,HOULTON
ME0020600,PRESQUE ISLE
ME0030000,CUMBERLAND
ME0030400,GORHAM
ME0030500,PORTLAND
ME0030600,SOUTH PORTLAND
ME0030700,SCARBOROUGH
ME0030800,WESTBROOK
ME0031400,YARMOUTH
ME0031800,UNIV OF SOUTHERN MAINE
ME004SP00,SP: FRANKLIN COUNTY
ME0050100,BAR HARBOR
ME0050300,BUCKSPORT
ME0051300,GOULDSBORO
ME0060000,KENNEBEC
ME0060100,AUGUSTA
ME0060400,WATERVILLE
ME0060600,MONMOUTH
ME0070200,ROCKLAND
ME0080200,DAMARISCOTTA
ME0080400,WISCASSET
ME0090100,RUMFORD
ME0090300,MEXICO
ME0090500,PARIS
ME0100100,BANGOR
ME0100200,BREWER
ME0100700,HAMPDEN
ME0120000,SAGADAHOC
ME0120100,BATH
ME0120200,TOPSHAM
ME0130200,SKOWHEGAN
ME0130400,PITTSFIELD
ME013SP00,SP: SOMERSET COUNTY
ME0140100,BELFAST
ME0140200,SEARSPORT
ME0140500,ISLESBORO
ME014SP00,SP: WALDO COUNTY
ME0150900,BAILEYVILLE
ME0160000,YORK
ME0160100,BIDDEFORD
ME0160200,KITTERY
ME0160300,OLD ORCHARD BEACH
ME0160400,SACO
ME0160500,SANFORD
ME0161200,OGUNQUIT
ME0161400,WELLS
ME016SP00,SP: YORK COUNTY
MI0210200,ALGER
MI0310300,ALLEGAN
MI0321000,ALLEGAN
MI0335300,SAUGATUCK-DOUGLAS
MI0347800,HOPKINS
MI0381100,WAYLAND
MI0421500,ALPENA
MI0537500,ELK RAPIDS
MI0846400,HASTINGS
MI0868500,PRAIRIEVILLE TOWNSHIP
MI0923900,BAY CITY
MI0938300,ESSEXVILLE
MI1011000,BENZIE
MI1111100,BERRIEN
MI1124800,BENTON HARBOR
MI1124900,BENTON TOWNSHIP
MI1125200,BERRIEN SPRINGS-ORONOKO
MI1127600,BUCHANAN
MI1136800,EAU CLAIRE
MI1161100,NEW BUFFALO
MI1161900,NILES
MI1172600,ST. JOSEPH
MI1176600,LINCOLN TOWNSHIP
MI1187100,CHIKAMING TOWNSHIP
MI1211200,BRANCH
MI1232200,COLDWATER
MI1279000,UNION CITY
MI1311300,CALHOUN
MI1320700,ALBION
MI1323700,BATTLE CREEK
MI1337900,EMMETT TOWNSHIP
MI1347600,HOMER
MI1356000,MARSHALL
MI1429700,CASSOPOLIS
MI1437200,ONTWA TWP-EDWARDSBURG
MI1526400,BOYNE CITY
MI1611600,CHEBOYGAN
MI1630900,CHEBOYGAN
MI1711700,CHIPPEWA
MI1773400,SAULT STE. MARIE
MI1831300,CLARE
MI1923600,BATH TOWNSHIP
MI1937800,ELSIE
MI1985700,DEWITT TOWNSHIP
MI2044000,GRAYLING
MI2112100,DELTA
MI2138200,ESCANABA
MI2312300,EATON
MI2343500,GRAND LEDGE
MI2412400,EMMET
MI2512500,GENESEE
MI2531400,CLAYTON TOWNSHIP
MI2532100,CLIO
MI2539300,FENTON
MI2539800,FLINT
MI2539900,FLINT TOWNSHIP
MI2540000,FLUSHING
MI2540100,FLUSHING TOWNSHIP
MI2542200,GENESEE TOWNSHIP
MI2543100,GRAND BLANC
MI2559800,MOUNT MORRIS
MI2560100,MUNDY TOWNSHIP
MI2577200,SWARTZ CREEK
MI2583900,BURTON
MI2584500,MOUNT MORRIS TOWNSHIP
MI2585200,GRAND BLANC TOWNSHIP
MI2586000,DAVISON TOWNSHIP
MI2589900,MONTROSE TOWNSHIP
MI2590400,UNIV OF MI: FLINT
MI2749400,IRONWOOD
MI2812800,GRAND TRAVERSE
MI2878100,TRAVERSE CITY
MI2902900,SP: GRATIOT COUNTY
MI2912900,GRATIOT
MI2921300,ALMA
MI3047300,HILLSDALE
MI3049800,JONESVILLE
MI3053600,LITCHFIELD
MI3074500,SOMERSET TOWNSHIP
MI3128400,CALUMET
MI3145400,HANCOCK
