,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita
540,2005,West Virginia,7,5,0,,,35.0,1820492,YES,NO,YES,NO,NO,YES,47.0,1.9225571988231752e-05,3.845114397646351e-06,2.7465102840331075e-06,0.0,,,2.5817196669911212e-05
541,2005,Wisconsin,4,5,0,,,37.0,5546166,YES,YES,NO,NO,YES,NO,46.0,6.6712752557352234e-06,7.2121894656597e-07,9.015236832074626e-07,0.0,,,8.294017885508655e-06
542,2005,Wyoming,1,1,0,,,1.0,514157,NO,NO,NO,NO,NO,NO,3.0,1.944931217507493e-06,1.944931217507493e-06,1.944931217507493e-06,0.0,,,5.834793652522479e-06
543,2004,Alabama,0,0,0,,,3.0,4530729,YES,NO,NO,NO,YES,NO,3.0,6.621450985040156e-07,0.0,0.0,0.0,,,6.621450985040156e-07
544,2004,Alaska,0,0,0,,,9.0,659286,YES,NO,YES,NO,YES,NO,9.0,1.3651131678816173e-05,0.0,0.0,0.0,,,1.3651131678816173e-05
545,2004,Arizona,44,33,1,,,146.0,5652404,YES,YES,YES,NO,YES,NO,224.0,2.582971776256616e-05,7.78429850378706e-06,5.838223877840296e-06,1.7691587508606958e-07,,,3.9629156019279584e-05
546,2004,Arkansas,7,5,1,,,80.0,2749686,NO,NO,NO,NO,NO,NO,93.0,2.909423112311733e-05,2.5457452232727665e-06,1.8183894451948332e-06,3.6367788903896664e-07,,,3.38220436806239e-05
547,2004,California,205,264,4,,,920.0,35574576,YES,YES,YES,YES,YES,YES,1393.0,2.5861165569478607e-05,5.762542327981646e-06,7.42103011993734e-06,1.124398503020809e-07,,,3.915717786769967e-05
548,2004,Colorado,14,3,0,,,42.0,4575013,YES,YES,NO,YES,YES,YES,59.0,9.180301782749032e-06,3.0601005942496773e-06,6.557358416249309e-07,0.0,,,1.2896138218623641e-05
549,2004,Connecticut,24,21,0,,,71.0,3496094,YES,YES,YES,YES,YES,NO,116.0,2.0308378436048916e-05,6.864803978382732e-06,6.00670348108489e-06,0.0,,,3.317988589551654e-05
