,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,civil_action_statute_present,data_collection_statute_present,police_training_statute_present,institutional_vandalism_statute_present,cross_burning_statute_present,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita,Number of Participating Agencies,Population Covered,Agencies Submitting Incident Reports,Total Number of Incidents Reported,percent_of_population_covered
480,2006,Oklahoma,8.0,7.0,1.0,,,35.0,3594090.0,YES,NO,NO,NO,YES,NO,1.0,1.0,0.0,1.0,1.0,51.0,9.738209115520199e-06,2.2258763692617597e-06,1.94764182310404e-06,2.7823454615771997e-07,,,1.4189961854043722e-05,294,3568374.0,28,51,0.992844920411008
481,2006,Oregon,27.0,25.0,0.0,,,89.0,3670883.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,0.0,141.0,2.424484790171738e-05,7.3551785769254975e-06,6.8103505341902745e-06,0.0,,,3.841037701283315e-05,169,3697193.0,32,141,1.0071672129021818
482,2006,Pennsylvania,18.0,13.0,0.0,,,66.0,12510809.0,YES,NO,NO,NO,NO,NO,1.0,1.0,0.0,1.0,0.0,97.0,5.2754382230597546e-06,1.438755879016297e-06,1.0391014681784368e-06,0.0,,,7.75329557025449e-06,954,11740668.0,27,97,0.9384419504765839
483,2006,Rhode Island,9.0,4.0,0.0,,,6.0,1063096.0,YES,YES,YES,NO,YES,NO,1.0,1.0,1.0,1.0,0.0,19.0,5.643892931588492e-06,8.465839397382739e-06,3.762595287725662e-06,0.0,,,1.787232761669689e-05,47,1067610.0,12,19,1.0042460887821985
484,2006,South Carolina,12.0,23.0,7.0,,,68.0,4357847.0,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,1.0,1.0,110.0,1.5604035662564564e-05,2.753653352217276e-06,5.277835591749779e-06,1.6062977887934109e-06,,,2.524182239532503e-05,476,4318330.0,56,110,0.9909319900400358
485,2006,South Dakota,4.0,6.0,0.0,,,66.0,783033.0,YES,NO,NO,NO,NO,NO,1.0,0.0,0.0,1.0,1.0,76.0,8.428763538701434e-05,5.10834153860693e-06,7.662512307910394e-06,0.0,,,9.705848923353166e-05,91,599756.0,7,76,0.7659396219571845
486,2006,Tennessee,37.0,44.0,1.0,,,120.0,6088766.0,YES,YES,YES,NO,YES,YES,1.0,0.0,0.0,1.0,0.0,202.0,1.9708426962047808e-05,6.076764979964743e-06,7.226423219417531e-06,1.6423689135039838e-07,,,3.3175852052780484e-05,459,6036872.0,65,202,0.9914770907602625
487,2006,Texas,27.0,47.0,1.0,,,170.0,23359580.0,YES,YES,YES,NO,YES,YES,1.0,1.0,1.0,1.0,0.0,245.0,7.277528106241637e-06,1.1558426992266129e-06,2.012022476431512e-06,4.280898886024492e-08,,,1.0488202270760003e-05,996,23483201.0,68,245,1.0052920900118922
488,2006,Utah,6.0,6.0,0.0,,,23.0,2525507.0,NO,NO,NO,NO,NO,NO,0.0,1.0,0.0,0.0,0.0,35.0,9.107082261106383e-06,2.375760589853839e-06,2.375760589853839e-06,0.0,,,1.3858603440814062e-05,111,2516523.0,21,35,0.9964426944767922
489,2006,Vermont,1.0,9.0,0.0,,,11.0,622892.0,YES,YES,YES,YES,YES,YES,1.0,0.0,0.0,0.0,1.0,21.0,1.765956217129133e-05,1.6054147428446666e-06,1.4448732685601998e-05,0.0,,,3.3713709599738e-05,78,612273.0,10,21,0.9829521008457325
490,2006,Virginia,47.0,37.0,33.0,,,224.0,7673725.0,YES,NO,NO,NO,NO,NO,1.0,1.0,0.0,1.0,1.0,341.0,2.9190516991422027e-05,6.12479597587873e-06,4.8216478959045316e-06,4.300388663914852e-06,,,4.443734952712014e-05,399,7621121.0,91,341,0.9931449198401038
491,2006,Washington,30.0,37.0,2.0,,,108.0,6370753.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,1.0,177.0,1.6952470139715037e-05,4.709019483254177e-06,5.807790696013485e-06,3.1393463221694523e-07,,,2.7783214951199653e-05,253,6393124.0,56,177,1.0035115158286627
